date,product_id,brand,product,volume,type,current_price,original_price,discount,sold_quantity,sold_out,url,market_id
23-02-2024,BP_431677,梅乃宿,梅乃宿 梅酒,720ML,日本酒,125,149,None,None,0,https://www.pns.hk/zh-hk/%E6%A2%85%E9%85%92/p/BP_431677,parknshop
23-02-2024,BP_415590,必富達,必富達 草莓氈酒,70CL,烈酒,228,249,None,None,0,https://www.pns.hk/zh-hk/%E8%8D%89%E8%8E%93%E6%B0%88%E9%85%92/p/BP_415590,parknshop
23-02-2024,BP_415609,BITTER TRUTH,BITTER TRUTH 粉紅氈酒,700ML,烈酒,588,588,None,None,0,https://www.pns.hk/zh-hk/%E7%B2%89%E7%B4%85%E6%B0%88%E9%85%92/p/BP_415609,parknshop
23-02-2024,BP_475404,札幌,札幌 小麥啤酒,350ML,啤酒,12.90,12.90,送贈品,None,0,https://www.pns.hk/zh-hk/%E5%B0%8F%E9%BA%A5%E5%95%A4%E9%85%92/p/BP_475404,parknshop
23-02-2024,BP_413151,THE SHY PIG,THE SHY PIG 西拉紅酒,75CL,紅酒,79,79,送贈品,None,0,https://www.pns.hk/zh-hk/%E8%A5%BF%E6%8B%89%E7%B4%85%E9%85%92/p/BP_413151,parknshop
23-02-2024,BP_369046,勝獅,勝獅 罐裝啤酒,6X330ML,啤酒,41.90,41.90,送贈品,None,0,https://www.pns.hk/zh-hk/%E7%BD%90%E8%A3%9D%E5%95%A4%E9%85%92/p/BP_369046,parknshop
23-02-2024,BP_492292,順昌源,順昌源 老媽甜酒,800ML,中國酒,62.90,62.90,None,None,0,https://www.pns.hk/zh-hk/%E8%80%81%E5%AA%BD%E7%94%9C%E9%85%92/p/BP_492292,parknshop
23-02-2024,BP_351899,真露,真露 ＦＲＥＳＨ燒酒,360ML,韓國酒,19.90,19.90,送贈品,已售200,0,https://www.pns.hk/zh-hk/%EF%BC%A6%EF%BC%B2%EF%BC%A5%EF%BC%B3%EF%BC%A8%E7%87%92%E9%85%92/p/BP_351899,parknshop
23-02-2024,BP_119700,MAISON CASTEL,MAISON CASTEL 蘇維翁白酒,75CL,白酒,69,79,None,已售100,0,https://www.pns.hk/zh-hk/%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92/p/BP_119700,parknshop
23-02-2024,BP_115458,五糧液,五糧液 酒５２度,500ML,中國酒,2080,2180,None,None,0,https://www.pns.hk/zh-hk/%E9%85%92%EF%BC%95%EF%BC%92%E5%BA%A6/p/BP_115458,parknshop
23-02-2024,BP_120414,黃尾袋鼠,澳洲黃尾袋鼠 西拉紅酒,75CL,紅酒,69,69,None,已售600,0,https://www.pns.hk/zh-hk/%E8%A5%BF%E6%8B%89%E7%B4%85%E9%85%92/p/BP_120414,parknshop
23-02-2024,BP_450191,雲霧之灣,雲霧之灣 莎當妮白酒,75CL,白酒,299,299,None,None,0,https://www.pns.hk/zh-hk/%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_450191,parknshop
23-02-2024,BP_473399,三得利,三得利 香桃酒,350ML,日本酒,11.90,11.90,送贈品,已售200,0,https://www.pns.hk/zh-hk/%E9%A6%99%E6%A1%83%E9%85%92/p/BP_473399,parknshop
23-02-2024,BP_368356,智利康樂斯,智利康樂斯 莎當妮白酒,75CL,白酒,79,100,None,None,0,https://www.pns.hk/zh-hk/%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_368356,parknshop
23-02-2024,BP_450030,APOTHIC,APOTHIC ＣＲＵＳＨ紅酒,75CL,紅酒,99,99,$158 / 2件,已售100,0,https://www.pns.hk/zh-hk/%EF%BC%A3%EF%BC%B2%EF%BC%B5%EF%BC%B3%EF%BC%A8%E7%B4%85%E9%85%92/p/BP_450030,parknshop
23-02-2024,BP_153416,TAMANO-HIKARI,TAMANO-HIKARI 清酒（大）,1800ML,日本酒,328,498,None,None,0,https://www.pns.hk/zh-hk/%E6%B8%85%E9%85%92%EF%BC%88%E5%A4%A7%EF%BC%89/p/BP_153416,parknshop
23-02-2024,BP_333041,熊野,熊野 梅酒,720ML,日本酒,173.50,173.50,None,None,0,https://www.pns.hk/zh-hk/%E6%A2%85%E9%85%92/p/BP_333041,parknshop
23-02-2024,BP_413601,WOLMAE,WOLMAE 米酒,750ML,韓國酒,22.90,22.90,None,None,0,https://www.pns.hk/zh-hk/%E7%B1%B3%E9%85%92/p/BP_413601,parknshop
23-02-2024,BP_153418,TAMANO-HIKARI,TAMANO-HIKARI 清酒（細）,300ML,日本酒,80,98,None,None,0,https://www.pns.hk/zh-hk/%E6%B8%85%E9%85%92%EF%BC%88%E7%B4%B0%EF%BC%89/p/BP_153418,parknshop
23-02-2024,BP_153414,日本盛,日本盛 清酒（細）,300ML,日本酒,49,68,None,None,0,https://www.pns.hk/zh-hk/%E6%B8%85%E9%85%92%EF%BC%88%E7%B4%B0%EF%BC%89/p/BP_153414,parknshop
23-02-2024,BP_191695,智利蒙加斯,智利蒙加斯 精選紅酒,75CL,紅酒,100,100,None,None,0,https://www.pns.hk/zh-hk/%E7%B2%BE%E9%81%B8%E7%B4%85%E9%85%92/p/BP_191695,parknshop
23-02-2024,BP_191267,JJ馬克威廉,JJ馬克威廉 莎當妮白酒,75CL,白酒,79,100,None,None,0,https://www.pns.hk/zh-hk/%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_191267,parknshop
23-02-2024,BP_191150,加州赤足,加州赤足 蘇維翁白酒,75CL,白酒,59,59,None,None,0,https://www.pns.hk/zh-hk/%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92/p/BP_191150,parknshop
23-02-2024,BP_188148,傑卡斯,澳洲傑卡斯 莎當妮白酒,75CL,白酒,110,110,$120 / 2件,None,0,https://www.pns.hk/zh-hk/%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_188148,parknshop
23-02-2024,BP_182957,澳洲奔樂克,澳洲奔樂克 莎當妮白酒,75CL,白酒,79,79,None,None,0,https://www.pns.hk/zh-hk/%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_182957,parknshop
23-02-2024,BP_139237,LEFFE,LEFFE 金黃啤酒,330ML,啤酒,20.90,20.90,送贈品,None,0,https://www.pns.hk/zh-hk/%E9%87%91%E9%BB%83%E5%95%A4%E9%85%92/p/BP_139237,parknshop
23-02-2024,BP_123937,青島,青島 青島啤酒,640ML,啤酒,18,18,$31 / 2件,None,0,https://www.pns.hk/zh-hk/%E9%9D%92%E5%B3%B6%E5%95%A4%E9%85%92/p/BP_123937,parknshop
23-02-2024,BP_123778,巴比斯,巴比斯 蘇維翁白酒,75CL,白酒,99,129,$158 / 2件,已售200,0,https://www.pns.hk/zh-hk/%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92/p/BP_123778,parknshop
